DELETE	NUMBER - Project	NUMBER - Originator	NUMBER - Volume OR System	NUMBER - Type	NUMBER - Discipline	NUMBER - Series	NUMBER - Level	NUMBER - Zone or Sequence	DRAWING TITLE - Title 1	DRAWING TITLE - Title 2 (Category)		DRAWING TITLE - Title 3	REVIT SHEET NUMBER	DRAWING NUMBER	DRAWING TITLE	OWNERSHIP	STUDIO RESPONSIBILITY	MODEL LOCATION	REVISION OFFSET	CURRENT ACONEX REVISION	TO BE ISSUED REVISION	SCALE	PRINT	TYPE	DISCIPLINE	PHASE	LEVEL	ORIGINATOR	SECTION	200303	200228	200221	200219	200214	200206	200203	200131	200124	200123	200122
	SFS	COX	01	DR	AR	10	00	~03	ARCHITECTURAL SERVICES	SITE PLAN		EXISTING SURVEY	AR100003	SFS-COX-01-DR-AR100003	SITE PLAN - EXISTING SURVEY		SYDNEY	ARCHITECTURE		1	2	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence	X			X							X
	SFS	COX	01	DR	AR	10	00	~02	ARCHITECTURAL SERVICES	SITE PLAN		LOCATION PLAN	AR100002	SFS-COX-01-DR-AR100002	SITE PLAN - LOCATION PLAN		SYDNEY	ARCHITECTURE		1	2	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence					X						
	SFS	COX	01	DR	AR	10	00	~07	ARCHITECTURAL SERVICES	SITE PLAN		BUILDING EXTENT	AR100007	SFS-COX-01-DR-AR100007	SITE PLAN - BUILDING EXTENT		SYDNEY	ARCHITECTURE		1	2	501	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence			X	X							
	SFS	COX	01	DR	AR	11	00	00	ARCHITECTURAL SERVICES	DEMOLITION PLAN		-	AR110000	SFS-COX-01-DR-AR110000	DEMOLITION PLAN		SYDNEY	ARCHITECTURE		1	2	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	00 - Whole Site					X						
	SFS	COX	01	DR	AR	12	B1	00	ARCHITECTURAL SERVICES	EARLY WORKS PLAN		LOWER BASEMENT	AR12B100	SFS-COX-01-DR-AR12B100	EARLY WORKS PLAN - LOWER BASEMENT		SYDNEY	ARCHITECTURE		0	1	200	A0	2D Drawing	Architectural	Design Development	B1 - Lower Basement	COX Architects	00 - Whole Site											X
	SFS	COX	01	DR	AR	12	00	00	ARCHITECTURAL SERVICES	EARLY WORKS PLAN		-	AR120000	SFS-COX-01-DR-AR120000	EARLY WORKS PLAN		SYDNEY	ARCHITECTURE		1	2	201	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	00 - Whole Site	X			X							
	SFS	COX	01	DR	AR	13	L0	00	ARCHITECTURAL SERVICES	GENERAL ARRANGEMENT PLAN		BASEMENT 	AR13L000	SFS-COX-01-DR-AR13L000	GENERAL ARRANGEMENT PLAN - BASEMENT 		SYDNEY	ARCHITECTURE		3	4	500	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	00 - Whole Site					X			X	X		
	SFS	COX	01	DR	AR	13	L1	00	ARCHITECTURAL SERVICES	GENERAL ARRANGEMENT PLAN		CONCOURSE	AR13L100	SFS-COX-01-DR-AR13L100	GENERAL ARRANGEMENT PLAN - CONCOURSE		SYDNEY	ARCHITECTURE		2	3	500	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	00 - Whole Site					X			X	X		
	SFS	COX	01	DR	AR	13	L1M	00	ARCHITECTURAL SERVICES	GENERAL ARRANGEMENT PLAN		CONCOURSE MEZZANINE	AR13L1M00	SFS-COX-01-DR-AR13L1M00	GENERAL ARRANGEMENT PLAN - CONCOURSE MEZZANINE		SYDNEY	ARCHITECTURE		2	3	500	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	00 - Whole Site					X			X	X		
	SFS	COX	01	DR	AR	13	L2	00	ARCHITECTURAL SERVICES	GENERAL ARRANGEMENT PLAN		LEVEL 2	AR13L200	SFS-COX-01-DR-AR13L200	GENERAL ARRANGEMENT PLAN - LEVEL 2		SYDNEY	ARCHITECTURE		2	3	500	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	00 - Whole Site					X			X	X		
	SFS	COX	01	DR	AR	13	L3	00	ARCHITECTURAL SERVICES	GENERAL ARRANGEMENT PLAN		LEVEL 3	AR13L300	SFS-COX-01-DR-AR13L300	GENERAL ARRANGEMENT PLAN - LEVEL 3		SYDNEY	ARCHITECTURE		2	3	500	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	00 - Whole Site					X			X	X		
	SFS	COX	01	DR	AR	13	L4	00	ARCHITECTURAL SERVICES	GENERAL ARRANGEMENT PLAN		LEVEL 4	AR13L400	SFS-COX-01-DR-AR13L400	GENERAL ARRANGEMENT PLAN - LEVEL 4		SYDNEY	ARCHITECTURE		2	3	500	A0	2D Drawing	Architectural	Design Development	L4 - Level 4	COX Architects	00 - Whole Site					X			X	X		
	SFS	COX	01	DR	AR	13	L5	00	ARCHITECTURAL SERVICES	GENERAL ARRANGEMENT PLAN		LEVEL 5	AR13L500	SFS-COX-01-DR-AR13L500	GENERAL ARRANGEMENT PLAN - LEVEL 5		SYDNEY	ARCHITECTURE		2	3	500	A0	2D Drawing	Architectural	Design Development	L5 - Level 5	COX Architects	00 - Whole Site					X			X	X		
	SFS	COX	01	DR	AR	13	B1	00	ARCHITECTURAL SERVICES	GENERAL ARRANGEMENT PLAN		LOWER BASEMENT	AR13B100	SFS-COX-01-DR-AR13B100	GENERAL ARRANGEMENT PLAN - LOWER BASEMENT		SYDNEY	ARCHITECTURE		2	3	500	A0	2D Drawing	Architectural	Design Development	B1 - Lower Basement	COX Architects	00 - Whole Site					X			X	X		
	SFS	COX	01	DR	AR	13	RF	00	ARCHITECTURAL SERVICES	GENERAL ARRANGEMENT PLAN		ROOF 	AR13RF00	SFS-COX-01-DR-AR13RF00	GENERAL ARRANGEMENT PLAN - ROOF 		SYDNEY	ARCHITECTURE		2	3	500	A0	2D Drawing	Architectural	Design Development	RF - Roof	COX Architects	00 - Whole Site					X			X	X		
	SFS	COX	01	DR	AR	15	L0	~01	ARCHITECTURAL SERVICES	FIELD OF PLAY		BASEMENT 	AR15L001	SFS-COX-01-DR-AR15L001	FIELD OF PLAY - BASEMENT 		SYDNEY	ARCHITECTURE		0	1	500	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	01-99 - Default Sequence											
	SFS	COX	01	DR	AR	16	00	00	ARCHITECTURAL SERVICES	SITEWORKS PLAN		GENERAL ARRANGEMENT	AR160000	SFS-COX-01-DR-AR160000	SITEWORKS PLAN - GENERAL ARRANGEMENT		SYDNEY	ARCHITECTURE		1	2	1000	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	00 - Whole Site					X						
	SFS	COX	01	DR	AR	16	00	01	ARCHITECTURAL SERVICES	SITEWORKS PLAN		ZONE A	AR160001	SFS-COX-01-DR-AR160001	SITEWORKS PLAN - ZONE A		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01 - Building Zone A					X						
	SFS	COX	01	DR	AR	16	00	02	ARCHITECTURAL SERVICES	SITEWORKS PLAN		ZONE B	AR160002	SFS-COX-01-DR-AR160002	SITEWORKS PLAN - ZONE B		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	02 - Building Zone B					X						
	SFS	COX	01	DR	AR	16	00	03	ARCHITECTURAL SERVICES	SITEWORKS PLAN		ZONE C	AR160003	SFS-COX-01-DR-AR160003	SITEWORKS PLAN - ZONE C		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	03 - Building Zone C					X						
	SFS	COX	01	DR	AR	16	00	04	ARCHITECTURAL SERVICES	SITEWORKS PLAN		ZONE D	AR160004	SFS-COX-01-DR-AR160004	SITEWORKS PLAN - ZONE D		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	04 - Building Zone D					X						
	SFS	COX	01	DR	AR	16	00	05	ARCHITECTURAL SERVICES	SITEWORKS PLAN		ZONE E	AR160005	SFS-COX-01-DR-AR160005	SITEWORKS PLAN - ZONE E		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	05 - Building Zone E					X						
	SFS	COX	01	DR	AR	16	00	06	ARCHITECTURAL SERVICES	SITEWORKS PLAN		ZONE F	AR160006	SFS-COX-01-DR-AR160006	SITEWORKS PLAN - ZONE F		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	06 - Building Zone F					X						
	SFS	COX	01	DR	AR	16	00	07	ARCHITECTURAL SERVICES	SITEWORKS PLAN		ZONE G	AR160007	SFS-COX-01-DR-AR160007	SITEWORKS PLAN - ZONE G		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	07 - Building Zone G					X						
	SFS	COX	01	DR	AR	16	00	08	ARCHITECTURAL SERVICES	SITEWORKS PLAN		ZONE H	AR160008	SFS-COX-01-DR-AR160008	SITEWORKS PLAN - ZONE H		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	08 - Building Zone H					X						
	SFS	COX	01	DR	AR	16	00	09	ARCHITECTURAL SERVICES	SITEWORKS PLAN		ZONE I	AR160009	SFS-COX-01-DR-AR160009	SITEWORKS PLAN - ZONE I		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	09 - Building Zone I					X						
	SFS	COX	01	DR	AR	17	00	~01	ARCHITECTURAL SERVICES	SITE DETAIL		SHEET 01	AR170001	SFS-COX-01-DR-AR170001	SITE DETAIL - SHEET 01		SYDNEY	ARCHITECTURE		1	2	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence					X						
	SFS	COX	01	DR	AR	17	00	~02	ARCHITECTURAL SERVICES	SITE DETAIL		SHEET 02	AR170002	SFS-COX-01-DR-AR170002	SITE DETAIL - SHEET 02		SYDNEY	ARCHITECTURE		1	2	500	A0	2D Drawing	Architectural	Design Development	00 - Datum	COX Architects	01-99 - Default Sequence					X						
	SFS	COX	01	DR	AR	18	L0	01	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		BASEMENT  ZONE A	AR18L001	SFS-COX-01-DR-AR18L001	INSULATION AND VENTILATION PLAN - BASEMENT  ZONE A		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	01 - Building Zone A					X						
	SFS	COX	01	DR	AR	18	L0	02	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		BASEMENT  ZONE B	AR18L002	SFS-COX-01-DR-AR18L002	INSULATION AND VENTILATION PLAN - BASEMENT  ZONE B		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	02 - Building Zone B					X						
	SFS	COX	01	DR	AR	18	L0	03	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		BASEMENT  ZONE C	AR18L003	SFS-COX-01-DR-AR18L003	INSULATION AND VENTILATION PLAN - BASEMENT  ZONE C		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	03 - Building Zone C					X						
	SFS	COX	01	DR	AR	18	L0	04	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		BASEMENT  ZONE D	AR18L004	SFS-COX-01-DR-AR18L004	INSULATION AND VENTILATION PLAN - BASEMENT  ZONE D		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	04 - Building Zone D					X						
	SFS	COX	01	DR	AR	18	L0	05	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		BASEMENT  ZONE E	AR18L005	SFS-COX-01-DR-AR18L005	INSULATION AND VENTILATION PLAN - BASEMENT  ZONE E		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	05 - Building Zone E					X						
	SFS	COX	01	DR	AR	18	L0	06	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		BASEMENT  ZONE F	AR18L006	SFS-COX-01-DR-AR18L006	INSULATION AND VENTILATION PLAN - BASEMENT  ZONE F		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L0 - Basement	COX Architects	06 - Building Zone F					X						
	SFS	COX	01	DR	AR	18	L1M	01	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE MEZZANINE ZONE A	AR18L1M01	SFS-COX-01-DR-AR18L1M01	INSULATION AND VENTILATION PLAN - CONCOURSE MEZZANINE ZONE A		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	01 - Building Zone A					X						
	SFS	COX	01	DR	AR	18	L1M	02	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE MEZZANINE ZONE B	AR18L1M02	SFS-COX-01-DR-AR18L1M02	INSULATION AND VENTILATION PLAN - CONCOURSE MEZZANINE ZONE B		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	02 - Building Zone B					X						
	SFS	COX	01	DR	AR	18	L1M	03	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE MEZZANINE ZONE C	AR18L1M03	SFS-COX-01-DR-AR18L1M03	INSULATION AND VENTILATION PLAN - CONCOURSE MEZZANINE ZONE C		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	03 - Building Zone C					X						
	SFS	COX	01	DR	AR	18	L1M	04	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE MEZZANINE ZONE D	AR18L1M04	SFS-COX-01-DR-AR18L1M04	INSULATION AND VENTILATION PLAN - CONCOURSE MEZZANINE ZONE D		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	04 - Building Zone D					X						
	SFS	COX	01	DR	AR	18	L1M	05	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE MEZZANINE ZONE E	AR18L1M05	SFS-COX-01-DR-AR18L1M05	INSULATION AND VENTILATION PLAN - CONCOURSE MEZZANINE ZONE E		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	05 - Building Zone E					X						
	SFS	COX	01	DR	AR	18	L1M	06	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE MEZZANINE ZONE F	AR18L1M06	SFS-COX-01-DR-AR18L1M06	INSULATION AND VENTILATION PLAN - CONCOURSE MEZZANINE ZONE F		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1M - Concourse Mezzanine	COX Architects	06 - Building Zone F					X						
	SFS	COX	01	DR	AR	18	L1	01	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE ZONE A	AR18L101	SFS-COX-01-DR-AR18L101	INSULATION AND VENTILATION PLAN - CONCOURSE ZONE A		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	01 - Building Zone A					X						
	SFS	COX	01	DR	AR	18	L1	02	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE ZONE B	AR18L102	SFS-COX-01-DR-AR18L102	INSULATION AND VENTILATION PLAN - CONCOURSE ZONE B		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	02 - Building Zone B					X						
	SFS	COX	01	DR	AR	18	L1	03	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE ZONE C	AR18L103	SFS-COX-01-DR-AR18L103	INSULATION AND VENTILATION PLAN - CONCOURSE ZONE C		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	03 - Building Zone C					X						
	SFS	COX	01	DR	AR	18	L1	04	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE ZONE D	AR18L104	SFS-COX-01-DR-AR18L104	INSULATION AND VENTILATION PLAN - CONCOURSE ZONE D		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	04 - Building Zone D					X						
	SFS	COX	01	DR	AR	18	L1	05	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE ZONE E	AR18L105	SFS-COX-01-DR-AR18L105	INSULATION AND VENTILATION PLAN - CONCOURSE ZONE E		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	05 - Building Zone E					X						
	SFS	COX	01	DR	AR	18	L1	06	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		CONCOURSE ZONE F	AR18L106	SFS-COX-01-DR-AR18L106	INSULATION AND VENTILATION PLAN - CONCOURSE ZONE F		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L1 - Concourse	COX Architects	06 - Building Zone F					X						
	SFS	COX	01	DR	AR	18	L2	01	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 2 ZONE A	AR18L201	SFS-COX-01-DR-AR18L201	INSULATION AND VENTILATION PLAN - LEVEL 2 ZONE A		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	01 - Building Zone A					X						
	SFS	COX	01	DR	AR	18	L2	02	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 2 ZONE B	AR18L202	SFS-COX-01-DR-AR18L202	INSULATION AND VENTILATION PLAN - LEVEL 2 ZONE B		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	02 - Building Zone B					X						
	SFS	COX	01	DR	AR	18	L2	03	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 2 ZONE C	AR18L203	SFS-COX-01-DR-AR18L203	INSULATION AND VENTILATION PLAN - LEVEL 2 ZONE C		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	03 - Building Zone C					X						
	SFS	COX	01	DR	AR	18	L2	04	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 2 ZONE D	AR18L204	SFS-COX-01-DR-AR18L204	INSULATION AND VENTILATION PLAN - LEVEL 2 ZONE D		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	04 - Building Zone D					X						
	SFS	COX	01	DR	AR	18	L2	05	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 2 ZONE E	AR18L205	SFS-COX-01-DR-AR18L205	INSULATION AND VENTILATION PLAN - LEVEL 2 ZONE E		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	05 - Building Zone E					X						
	SFS	COX	01	DR	AR	18	L2	06	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 2 ZONE F	AR18L206	SFS-COX-01-DR-AR18L206	INSULATION AND VENTILATION PLAN - LEVEL 2 ZONE F		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L2 - Level 2	COX Architects	06 - Building Zone F					X						
	SFS	COX	01	DR	AR	18	L3	01	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 3 ZONE A	AR18L301	SFS-COX-01-DR-AR18L301	INSULATION AND VENTILATION PLAN - LEVEL 3 ZONE A		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	01 - Building Zone A					X						
	SFS	COX	01	DR	AR	18	L3	02	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 3 ZONE B	AR18L302	SFS-COX-01-DR-AR18L302	INSULATION AND VENTILATION PLAN - LEVEL 3 ZONE B		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	02 - Building Zone B					X						
	SFS	COX	01	DR	AR	18	L3	03	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 3 ZONE C	AR18L303	SFS-COX-01-DR-AR18L303	INSULATION AND VENTILATION PLAN - LEVEL 3 ZONE C		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	03 - Building Zone C					X						
	SFS	COX	01	DR	AR	18	L3	04	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 3 ZONE D	AR18L304	SFS-COX-01-DR-AR18L304	INSULATION AND VENTILATION PLAN - LEVEL 3 ZONE D		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	04 - Building Zone D					X						
	SFS	COX	01	DR	AR	18	L3	05	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 3 ZONE E	AR18L305	SFS-COX-01-DR-AR18L305	INSULATION AND VENTILATION PLAN - LEVEL 3 ZONE E		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	05 - Building Zone E					X						
	SFS	COX	01	DR	AR	18	L3	06	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 3 ZONE F	AR18L306	SFS-COX-01-DR-AR18L306	INSULATION AND VENTILATION PLAN - LEVEL 3 ZONE F		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L3 - Level 3	COX Architects	06 - Building Zone F					X						
	SFS	COX	01	DR	AR	18	L4	01	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 4 ZONE A	AR18L401	SFS-COX-01-DR-AR18L401	INSULATION AND VENTILATION PLAN - LEVEL 4 ZONE A		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L4 - Level 4	COX Architects	01 - Building Zone A					X						
	SFS	COX	01	DR	AR	18	L4	02	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 4 ZONE B	AR18L402	SFS-COX-01-DR-AR18L402	INSULATION AND VENTILATION PLAN - LEVEL 4 ZONE B		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L4 - Level 4	COX Architects	02 - Building Zone B					X						
	SFS	COX	01	DR	AR	18	L4	03	ARCHITECTURAL SERVICES	INSULATION AND VENTILATION PLAN		LEVEL 4 ZONE C	AR18L403	SFS-COX-01-DR-AR18L403	INSULATION AND VENTILATION PLAN - LEVEL 4 ZONE C		SYDNEY	ARCHITECTURE		1	2	200	A0	2D Drawing	Architectural	Design Development	L4 - Level 4	COX Architects	03 - Building Zone C					X						
